2	0	1	3
Service pretty good But wait a little longer But accurate diagnosis Sick to hospitals. CU avoids lost every time. It is affordable too Suitable for children of different provinces who came to live in Bangkok too. At first I was worried it would be expensive. Food distribution is very hygienic. The volume and the number of calories tell. The taste is quite good Not too spicy Very cold air 55555555555	บริการค่อยข้างดีค่ะ แต่รอคิวนานนิดหน่อย แต่วินิจฉัยผลแม่นยำ เจ็บป่วยไปรพ. จุฬาทีไร หายทุกครั้งค่ะ แถมราคาไม่แพงด้วยค่ะ เหมาะกับเด็กต่างจังหวัดที่เข้ามาอาศัยในกรุงเทพได้มากเลยค่ะ ตอนแรกหนูก็กังวลว่าจะแพง อาหารที่จำหน่ายก็อนามัยมากค่ะ มีปริมาณและจำนวนแคลอรี่บอกด้วย รสชาติค่อนข้างดีค่ะ ไม่จัดจ้านจนเกินไป แอร์หนาวมาก55555555555	5	chula
Food poisoning and had to be treated at the hospital's property. The doctor Moi Hospital care is very good. Along with the recommended initial treatment By the way, I have followed the advice of the doctor opened the medicine with your doctor informed. Less than 2 days of food poisoning was gone entirely. Thanks to the hospital to take care of this.	ได้มีอาการอาหารเป็นพิษและเข้าทำการรักษาที่โรงพยาบาบแห่งนี้ ทางคุณหมอแลัพยาบาลดูแลดีมาก พร้อมกับแนะนำการรักษาเบื้องต้น โดยที่ทางผมนั้นได้ปฏิบัติตามคำแนะนำของคุณหมอแบะทานยาควบคู่กับที่คุณหมอได้แจ้งไว้ ใช้เวลาไม่ถึง 2 วัน อาการอาหารเป็นพิษก็หายเป็นปลิดทิ้ง ต้องขอบคุณทางโรงพยาบาลที่ช่วยดูแลมากแบบนี้ครับ	5	chula
It offers a good level here. Ray went several times Impressive enough time to queue to check with your doctor. At first I did not know myself what the disease because symptoms are often imagines himself an ulcer and gastritis. But check with your doctor so that you know yourself as intestinal diseases. You were a very good treatment. Symptoms improved steadily	มีบริการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ	5	chula
For hospital Very good service ฝaktgag and give birth here Including contraception Impressive start ฝaktgag All staff are attentive mothers, all very good. Medical students The nurses are very kind I love every second if someone leave here like you ask the hospital to maintain a good image for every patient, thank you.	สำหรับโรงพยาบาลจุฬาลงกรณ์ บริการดีมากค่ะ ฝากท้องและคลอดที่นี่ รวมถึงการคุมกำเนิด ประทับใจตั้งแต่เริ่มฝากท้อง บุคลากรทุกท่านให้ความใส่ใจคุณแม่ทุกท่านดีมากค่ะ นักศึกษาแพทย์ รวมถึงนางพยาบาล ใจดีมากค่ะ น่ารักทุกคน ถ้ามีคนที่สองฝากที่นี่เหมือนเดิมค่ะ ขอให้ทาง รพ.รักษาภาพลักษณ์ที่ดีตลอดไปเพื่อคนไข้ทุกคน ขอบคุณค่ะ	5	chula
Make it very much The doctor gave me the diagnosis, I แnm good. The check-ups are necessary and careful construction. For some diseases, often without knowing it. Exams have been advised to check before going to the hospital on the same shift. I was okay with it because I want to serve great wilderness system has come to review all services and to gain a portion of one of the decisions in the treatment and care of our own Paa.	ตรวจดีๆมากๆนะ คุณหมอให้คะแนำนะวินิจฉัย​ดีมากๆ เพราะตรวจสุขภาพเป็นสิ่งที่จำเป็นและคสรระวัง เพราะบางโรคมักมาโดยไม่รู้ตัว เคยแนะนำให้เพืือนไปตรวจที่โรงพยาบาบนี้เหมือนกะน เพื่อนก็โอเคด้วย เพราะบริการ ดีเ็นระบบ เรียบร้อย เลยอยากมารีวิวเพื่อให้ทุกคนไปใข้บริการและเป็นส่วนนึวของการตัดสินใจในการรักษาและดูแลสุขภาะของตัวเราเอง	5	chula
Make very good doctor profile. Good nursing care for patients well enough to go back home, easy and good. Treatment is not long enough for me to check on it. Tell me more, I'd like to check every year. Tell me from head to toe We are also doing a fine not want anyone to try to use the hospital soon. For the benefit of all Very good, really good advice	ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย	4	chula
Built in the good thing here. Ray went several times Impressive enough time to queue to check with your doctor. At first I did not know myself what the disease because symptoms are often imagines himself an ulcer and gastritis. But check with your doctor so that you know yourself as intestinal diseases. You were a very good treatment. Symptoms improved steadily	บิรการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ	4	chula
Have the opportunity to go to the doctor at the hospital here. You have good experience Expert Ask your doctor to suspect anything out of it. The service is good, patient care, reduce stress and panic as well. But very long queue like it. Wait a while Since it is very hard or emergency overall considered okay. Get the information they need	มีโอกาสได้ไปหาหมอที่โรงพยาบาลจุฬาลงกรณ์ค่ะ คุณหมอเก่งมีประสบการณ์ มีความเชี่ยวชาญ สงสัยอะไรสอบถามคุณหมอได้หมดค่ะ มีการบริการที่ดี ใส่ใจผู้ป่วย ลดความเครียดและตระหนกได้เป็นอย่างดี แต่คิวยาวมากเช่นเดียวกันค่ะ ต้องรอระยะนึง เนื่องจากไม่ได้เป็นหนักมาก หรือฉุกเฉิน โดยรวมถือว่าโอเค ได้รับข้อมูลที่ต้องการ	4	chula
Make very good doctor profile. Good nursing care for patients well enough to go back home, easy and good. Treatment is not long enough for me to check on it. Tell me more, I'd like to check every year. Tell me from head to toe We are also doing a fine not want anyone to try to use the hospital soon. For the benefit of all Very good, really good advice	ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย	5	chula
Embedded pills that come in Chulalongkorn Hospital, conveniently located next bts and mrt. Fast service is very friendly for individuals under 20 years of burying it free, pay examination fee is 300 baht. Students from other provinces, you can bury it can consult a social worker at the Department of Gynecology Suti, but if it had not been waiting since morning should do because it takes quite a long time.	ไปฝังยาคุมที่โรงพยาบาลจุฬามาค่ะเดินทางสะดวกอยู่ติดbtsและmrt บริการรวดเร็วมีความเป็นกันเองมากค่ะสำหรับบุคคลที่อายุไม่เกิน20ปีฝังฟรีค่ะจ่ายแค่ค่าตรวจภายใน300บาท นักศึกษามาจากต่างจังหวัดก็สามารถฝังได้ค่ะสามารถปรึกษานักสังคมสงเคราะห์ที่แผนกสุตินรีเวชได้ค่ะแต่ถ้าไม่เคยทำบัตรควรมารอคิวตั้งแต่เช้าเพราะใช้เวลาทำค่อนข้างนานค่ะ	5	chula
Hospital Chula impressed by the staff's medical records, nursing and medical care is very good, friendly service generous help guide the well impressed. A clean place What is it lol The doctor gently good. Injection time. I feel much Drugs have a lot in common. He recommended pharmaceutical pills correctly. A little crowded But Excellent Service Some hospitals may have scolded But he dutifully understand it lol.	ที่โรงพยาบาลจุฬาฯรู้สึกประทับใจจากเจ้าหน้าที่เวชระเบียน พี่พยาบาล และคุณหมอ ดูแลดีมาก บริการเป็นกันเอง ใจดี ให้คำแนะนำช่วยเหลืออย่างดี ประทับใจมาก บริเวณสถานที่สะอาด น่าอยู่ค่ะฮ่าๆ คุณหมอมือเบาดีค่ะ.เวลาฉีดยา ไม่ค่อยรู้สึกเจ็บเท่าไหร่ ได้ยามาเยอะมากเหมือนกัน เภสัชเขาแนะนำการกินยาที่ถูกต้อง คนเยอะไปหน่อย แต่บริการประทับใจ พยาบาลอาจมีดุบ้าง แต่เขาทำตามหน้าที่ เข้าใจค่ะ ฮ่าๆๆ	5	chula
I took my mother's annual health check. In the department The blood test, X-ray, no queues for staff working in a systematic way. The trip to the hospital, it is conveniently located near both the Skytrain and the subway down from the Saladaeng Skytrain station, it is connected to building global security. But if a car. It may have seemed a little jam. The service staff and doctors speak good courteous staff at registration. It's good-natured Fret not upset at all Very impressive	พอดีพาคุณแม่มาตรวจสุขภาพประจำปี ในการตรวจแต่ละแผนก ทั้งเจาะเลือด เอ็กซเรย์ รอคิวไม่นาน เจ้าหน้าที่ทำงานอย่างเป็นระบบ ส่วนการเดินทางมาโรงพยาบาลก็ง่าย เดินทางสะดวก อยู่ใกล้ทั้ง รถไฟฟ้า และ รถไฟฟ้าใต้ดิน ลงจากรถไฟฟ้า สถานีศาลาแดง ก็มีทางเชื่อมมาถึงตึก ภปร.เลย แต่ถ้ามารถยนต์ส่วนตัว อาจจะลำบากไปนิดหน่อยเพราะรถติด ส่วนการบริการเจ้าหน้าที่และแพทย์ พูดจาดี อัธยาศัยดี ทั้งเจ้าหน้าที่ในห้องลงทะเบียน ก็มีอัธยาศัยดี ไม่มีหงุดหงิดอารมณ์เสียใส่เลย ประทับใจมากค่ะ	4	chula
The hospital is fully equipped with tools Queuing quickly. I was a patient at the hospital, Rayong sent to treatment using the 30 baht for treatment. The hospital has treated well. And nursing care for everyone Has indicated the steps Because I went to a new patients What steps did the rest. The nurse was advised well Queuing for a doctor at first thought to be slow as ever. But I have very sensitive approach	โรงพยาบาลมีเครื่องมือครบครัน สะดวกสบาย มีการจัดคิวได้รวดเร็ว ผมเป็นคนไข้ที่โรงพยาบาลระยองส่งตัวมารักษาโดยใช้สิทธิ 30 บาทในการรักษา ทางโรงพยาบาลได้มีการรักษาอย่างดี และพยาบาลดูแลดีทุกคน มีการชี้แนะนำขั้นตอน เพราะผมไปเป็นคนไข้ใหม่ ซึ่งไม่รู้ขั้นตอนอะไรเรย ทางพยาบาลก็แนะนำอย่างดี การเข้าคิวหาหมอตอนแรกนึกว่าจะช้าอย่างที่เคยไป แต่เข้าหาหมอได้ไวมาก	4	chula
It is the opposite Lumpini Park The train or bus, it's convenient. Private health services had to go abroad many years ago, doctors, nursing staff all speak good service but now register new patients. I just need to be a little patient self-service is a big part. Make quite long queues Currently, there is sure to change it or not.	อยู่ตนงข้ามสวนลุมพินี มารถไฟฟ้าหรือรถเมล์ก็สะดวกดี ส่วนตัวเคยไปใช้บริการตรวจสุขภาพไปต่างประเทศเมื่อหลายปีก่อน เจ้าหน้าที่ พยาบาล หมอ ทุกคนพูดจาดี บริการดี แต่ตอนลงทะเบียนผู้ป่วยใหม่ จะงงๆนิดหน่อย คนไข้เยอะ ต้องบริการตนเองเป็นส่วนใหญ่ รอคิวตรวจค่อนข้างนาน ปัจจุบันไม่แน่ใจว่ามีการปรับปรุงเปลี่ยนแปลงบ้างหรือยัง	3	chula
A chance to be admitted to Chulalongkorn Hospital by visits like birds through the ENT general teachers do physician. At every stage of the service of the hospital's nurses do Area Volunteer Manager. With HOMERegisterInstructions inquiries Northridge Hmong are just outside of office hours clinic patients, you have to queue a lot. Convenient Metro and bus routes bts State Hospital. Services like Private	มีโอกาศได้เข้ารับการรักษาที่โรงพยาบาลจุฬาลงกรณ์ สภากาชาดไทย โดยได้เข้ารับการตรวจเเผนกหู คอ จมูก ทั่วไปกับอาจารย์เเพทย์ ประทับใจทุกขั้นตอนการให้บริการของโรงพยาบาลจุฬาลงกรณ์ เเพทย์ พยาบาล อาสาสมัคร เจ้าหน้าที่ประชาสัมพันธ์ พร้อมให้คำเเนะนำ สอบถามข้อสัย เเม้จะเป้นคลินิกนอกเวลาราชการผู้ป่วยก้ต้องเข้าคิวรอเป็นจำนวนมาก การเดินทางสะดวกทั้งรถเมย์ประจำทาง รถไฟฟ้าbts สังกัดโรงพยาบาลรัฐ บริการดีเหมือนเอกชน	5	chula
Have the opportunity to see a doctor, the clinic is the second clinic skin. Gynecology clinic At every stage of the service staff here very much doubt or question whether the new personnel will respond willingly, smiling even more impressive parte examination of questions until you are sure that the patient is coming. I was not asked a question he concluded. Like many hospitals visited. It was almost half an hour to see the doctor about it. Asked our symptoms carefully. I've recently come across it. The doctors talk to patients who have prolonged hospital for at least 5 minutes to go to the doctor immediately.	ได้มีโอกาสไปพบหมอมา 2 คลินิก คือ คลินิกผิวหนัง กับคลินิกนารีเวช ประทับใจทุกขั้นตอนการบริการของบุคลากรที่นี่มากๆค่ะ ไม่ว่าจะถาม หรือสงสัย ในส่วนใหน บุคลากรทุกท่านตอบด้วยความเต็มใจ ยิ้มแย้ม ยิ่งหมอนี่ประทับใจมาก ตรวจละเอียด ถามจนกว่าจะแน่ใจว่าคนไข้เป็นอะไรมา ไม่ใช่ถามแบบรีบถามรีบสรุป เหมือนหลายๆโรงพยาบาลที่เคยไปมา คือเข้าพบหมอประมาณเกือบๆครึ่งชั่วโมงเลยค่ะ นั่งซักถามอาการของเราอย่างละเอียด เพิ่งจะเคยเจอที่นี่แหละค่ะ ที่หมอคุยกับคนไข้นานๆ เจอที่ รพ.ประจำที่เคยไป 5 นาที ออกละ หมอรีบไปใหน	5	chula
Treat many more diseases here แm Bay to time with patients. Smart and very talented But it makes a lot of patients have to wait long. Even the clinic was crowded. But doctors say there's better to focus on treatment. Hospitals, too,  We treat here all along. The price was not expensive unacceptable. With medication and the treatment they receive. I want to organize more quickly than this.	รักษาหลายโรคมากที่นี่ แำทย์ให้เวลากับคนไข้ เก่งและมีความสามารถมาก แต่คนไข้เยอะมากๆๆทำให้ต้องรอนาน แม้แต่คลินิกพิเศษก็ยังคนเยอะ แต่คุณหมอพูดดี เอาใจใส่ดี ให้ความสำคัญในการรักษา พยาบาลก็เช่นกัน  เรารักษาที่นี่มาโดยตลอด ราคาก็ไม่ได้แพงขนาดรับไม่ได้ แลกกับยาและการรักษาที่ได้รับ แต่อยากให้จัดระบบให้รวดเร็วกว่านี้ค่ะ	4	chula
A reservation system queues good. Nurses will introduce In the first place to make history. And introduce them to the clinic if a doctor does not want to incur expensive. You speak very good and generous service to the poor queues. But may have to wait a little longer to go from half past five to get and to keep up the queue to see the doctor. And you call the nurses office queue has been suggested that if you do not want to wait long. To go to the emergency room. For those not comfortable Headache and fever Who does not want long queues	มีระบบการจองคิวที่ดีค่ะ พยาบาลจะคอยแนะนำ ในครั้งแรกที่ไปทำประวัติ และแนะนำให้ไปคลินิคธรรมดาหากไม่ต้องการเสียค่าพบหมอแพง และคุณหมอพูดดีมากๆค่ะ ใจดี การให้บริการระหว่างรอคิวดี แต่อาจจะต้องรอคิวนานหน่อยควรไปตั้งแต่ตีห้าครึ่งเพื่อที่จะได้รับคิวและเพื่อให้ทันในการพบหมอ และคุณพยาบาลที่ทำการเรียกคิวมีการแนะนำว่าหากไม่ต้องการรอคิวนาน ให้ไปทำเรื่องที่ห้องฉุกเฉิน สำหรับผู้ที่ไม่สบาย ปวดหัวตัวร้อน ที่ไม่ต้องการรอคิวนาน	4	chula
Hospital systems are booked. Good prenatal care and patient records to the hospital and university medical attention. For information on the treatment and the pregnancy. That utilize the patient's understanding patients have a choice in the treatment and care of the baby and understood correctly. Choose not to trust them and leave the baby with hospital birth mother, you think you're going to ฝaktgag birth and recommended that hospital capacity, it is both stately deposit weekdays. And during a dinner after work. ANC or on weekends with me.	รพ. มีระบบการจองคิว และจัดระเบียนคนไข้ดีมาก ฝากครรภ์กับ รพ.จุฬา คุณหมอใส่ใจและ ให้ข้อมมูลการดูแลรักษาและการตรวจฝากครรภ์ ที่เป็นประโชยน์ กับคนไข้ เข้าใจง่าย ทำให้คนไข้มีทางเลือกในการเข้ารับการรักษาและดูแลลูกน้อยอย่างเข้าใจและถูกต้อง เลือกไม่ผิดที่ไว้ใจและฝากลูกน้อยไว้กับการคลอดที่โรงพยาบาลนี้ คุณแม่ท่านใด กำลังคิดจะฝากท้องและคลอดแนะนำที่ รพ.จุฬเลยค่ะ มีทั้งแบบฝากวันธรรมดา และช่วงเลาเย็นหลังเลิกงาน หรือสามารถมาฝากครรภ์ในวันเสาร์อาทิตย์ได้ด้วยค่ะ	4	chula
Doctors and nurses speak good impression I do not like government hospitals elsewhere. In addition, doctors are competent and proficient, there are other great and impressive. I do not fault the choice of service here. Doctors and nurses speak good impression I do not like government hospitals elsewhere. In addition, doctors are competent and proficient, there are other great and impressive. I do not fault the choice of service here.	ประทับใจหมอและพยาบาลพูดจาดี รู้สึกไม่เหมือนกับโรงพยาบาลรัฐบาลที่อื่น นอกจากคุณหมอจะเก่งและมีความเชี่ยวชาญแล้วยังมีคุณสมบัติอื่นๆที่ดีและน่าประทับใจ คิดไม่ผิดเลยค่ะที่เลือกมาใช้บริการที่นี่ ประทับใจหมอและพยาบาลพูดจาดี รู้สึกไม่เหมือนกับโรงพยาบาลรัฐบาลที่อื่น นอกจากคุณหมอจะเก่งและมีความเชี่ยวชาญแล้วยังมีคุณสมบัติอื่นๆที่ดีและน่าประทับใจ คิดไม่ผิดเลยค่ะที่เลือกมาใช้บริการที่นี่	5	chula
Doctors here are very good. Father kidney surgery from both sides. Very skilled Which is usually the case, your father would be very difficult. But the doctor was successful Pleasant enough nurses But some did speak briefly The father yelled at us? Where is it to be screwed like morphine. I do not know the answer It was good to speak with you. Comment on this one too Some nurses outside the hospital building is good, it's clean, convenient and good.	คุณหมอที่นี่เก่งมากค่ะ ผ่าตัดไตคุณพ่อออกทั้งสองข้าง มีความชำนาญมาก ซึ่งปกติแล้วเคสของคุณพ่อจะยากมากๆ แต่คุณหมอก็ทำได้สำเร็จ พยาบาลก็ดีค่ะ แต่บางคนก็พูดจาห้วน ตะโกนใส่พ่อเราบ้าง คือตอนนั้นแกเหมือนจะเมายามอร์ฟีน แกก็ตอบไม่ค่อยรู้เรื่อง ก็น่าจะพูดจากับแกดีๆหน่อย ติตรงนี้ที่เดียวค่ะ เรื่องพยาบาลบางคน นอกนั้นดีค่ะ ตึกพยาบาลก็ใหม่ สะอาด และสะดวกดีค่ะ	5	chula
Chula Hospital is the ultimate expert on heart disease. Kids Baby how surgery can help. Thanks to the rescue son Let us have a healthy son back. Thank you from my heart	โรงพยาบาลจุฬาฯคือสุดยอดผู้เชี่ยวชาญในเรื่องโรคหัวใจ เด็กเล็กเด็กอ่อนแค่ไหนก็สามารถผ่าตัดช่วยได้ ขอบคุณที่ช่วยชีวิตลูกชาย ให้เราได้ลูกชายที่แข็งแรงกลับมา ขอบคุณจากใจค่ะ	5	chula
Go to the doctor and I feel very good staff here.	ไปหาหมอแล้วเจอเจ้าหน้าที่บริการดีรุ้สึกดีมากคั	5	chula
The nurses and the doctor admitted to the operating room, very generous. With encouragement	จากการเข้ารับการรักษาพยาบาลและคุณหมอที่ห้องผ่าตัดใจดีมากค่ะ ให้กำลังใจด้วย	4	chula
Nursing eloquence simplification	พยาบาลพูดจาไพเราะ เข้าใจง่าย	5	chula
The treatment efficiency Soon the wait	เป็นการรักษาที่มีประสิทธิ์ภาพ ถึงช้าก็รอได้	5	chula
I staff Please advise	หมอเจ้าหน้าที่ ยินดีให้คำแนะนำ	5	chula
Medical team leader A wide range of medical specialties and patients with difficult cases effectively.	ทีมแพทย์แนวหน้า มีแพทย์เฉพาะทางหลากหลายและรองรับผู้ป่วยเคสยากๆได้อย่างมีประสิทธิภาพ	5	chula
Due to a crowded public hospital. Very long queues Will the doctor be exercised to maintain the 30-baht health care. Paya Committee generous enough Before I explain what to do before, such as treatment, he will tell you what to do, but some people really good.	คนเยอะ เนื่องจากเป็นโรงพยาบาลของรัฐ รอคิวนานมากค่ะ กว่าจะได้พบหมอ ค่ารักษาถูก ใช้สิทธิ30บาทรักษาทุกโรค พญาบาลใจดีค่ะ ชอบการอธิบายก่อนจะทำอะไร เช่น ก่อนฉีดยา เขาจะมาบอกก่อนว่าจะทำอะไรบ้าง ดีค่ะ แต่คนเยอะจริงๆ	3	chula
Shelter throughout the second child last October 59, when I do not like to check every month. For a very long wait But every time I feel that the staff all work hard. Beaming Very informative Up until now it bore the impress Nursing care of patients Walk in the Night Let's help smiling I do not complain Unlike hospital somewhere private. Need help late Ring the bell to call me, but I just woke up a doctor and a nurse at the University mannered. Excellent patient care and the cost is not too high. But not exactly where you'd swipe the credit card must have cost one billion baht to me.	เพิ่งผ่าตลอดลูกคนที่สองเมื่อเดือนตุลาคม 59 ค่ะ ตอนไปตรวจทุกเดือนไม่ค่อยชอบ เพราะรอนานมาก แต่ไปทุกครั้งก็รู้สึกว่าเจ้าหน้าที่ทุกคนตั้งใจทำงาน ยิ้มแย้มแจ่มใส ให้ข้อมูลดีมาก จนถึงตอนคลอดยิ่งประทับใจค่ะ พยาบาลเอาใจใส่คนไข้มาก เดินเช็คทั้งคืน ขอให้ช่วยก็ยิ้มแย้ม ไม่มีบ่นเลยค่ะ ไม่เหมือนรพ.เอกชนบางที่ ดึกๆต้องการความช่วยเหลือ กดกริ่งเรียกไปเหมือนเพิ่งตื่นนอน ไม่ยิ้มเลย แต่หมอและพยาบาลที่จุฬามารยาทดี ดูแลคนไข้ดีมากและที่สำคัญค่าใช้จ่ายไม่สูงเกินไป แต่ไม่สะดวกตรงที่ถ้าต้องการรูดบัตรเครดิตต้องมีค่าใช้จ่ายหนึ่งพันบาทขึ้นไปค่ะ	4	chula
